event_id,module(equipment),start_datetime,end_datetime,point_count,duration_seconds,minimum_powerfactor,average_powerfactor,iqr_detected,ewma_detected,if_detected,max_model_agreement
EWMA-000191,15(예비건조기),2024-12-02 02:07:40,2024-12-02 02:07:40,1,5,67.24333,67.24333,1,1,1,3
EWMA-000192,15(예비건조기),2024-12-02 02:09:35,2024-12-02 02:09:35,1,5,65.37333,65.37333,1,1,1,3
EWMA-000193,15(예비건조기),2024-12-02 02:12:55,2024-12-02 02:12:55,1,5,64.223335,64.223335,1,1,0,2
EWMA-000194,15(예비건조기),2024-12-02 02:36:00,2024-12-02 02:36:00,1,5,68.46333,68.46333,0,1,1,2
EWMA-000195,15(예비건조기),2024-12-02 02:40:15,2024-12-02 02:40:15,1,5,64.82333,64.82333,1,1,1,3
EWMA-000196,15(예비건조기),2024-12-02 02:42:40,2024-12-02 02:42:40,1,5,70.22,70.22,0,1,1,2
EWMA-000197,15(예비건조기),2024-12-02 02:47:00,2024-12-02 02:47:00,1,5,64.94334,64.94334,1,1,1,3
EWMA-000198,15(예비건조기),2024-12-02 02:49:45,2024-12-02 02:49:45,1,5,65.17667,65.17667,1,1,0,2
EWMA-000199,15(예비건조기),2024-12-02 02:58:30,2024-12-02 02:58:30,1,5,65.416664,65.416664,1,1,1,3
EWMA-000200,15(예비건조기),2024-12-02 03:01:10,2024-12-02 03:01:10,1,5,71.15667,71.15667,0,1,1,2
EWMA-000201,15(예비건조기),2024-12-02 03:01:55,2024-12-02 03:01:55,1,5,67.55333,67.55333,1,1,1,3
EWMA-000202,15(예비건조기),2024-12-02 03:05:10,2024-12-02 03:05:10,1,5,68.67333,68.67333,1,1,0,2
EWMA-000203,15(예비건조기),2024-12-02 03:08:05,2024-12-02 03:08:05,1,5,69.36001,69.36001,1,1,0,2
EWMA-000204,15(예비건조기),2024-12-02 03:31:00,2024-12-02 03:31:00,1,5,68.35,68.35,1,1,1,3
EWMA-000205,15(예비건조기),2024-12-02 03:35:00,2024-12-02 03:35:00,1,5,67.43333,67.43333,1,1,0,2
EWMA-000206,15(예비건조기),2024-12-02 03:51:25,2024-12-02 03:51:25,1,5,62.536667,62.536667,1,1,0,2
EWMA-000207,15(예비건조기),2024-12-02 04:01:15,2024-12-02 04:01:15,1,5,66.189995,66.189995,1,1,0,2
EWMA-000208,15(예비건조기),2024-12-02 04:22:30,2024-12-02 04:22:30,1,5,64.65,64.65,1,1,1,3
EWMA-000209,15(예비건조기),2024-12-02 04:27:40,2024-12-02 04:27:40,1,5,69.01667,69.01667,1,1,1,3
EWMA-000210,15(예비건조기),2024-12-02 04:35:15,2024-12-02 04:35:15,1,5,70.09333,70.09333,0,1,1,2
EWMA-000211,15(예비건조기),2024-12-02 04:45:05,2024-12-02 04:45:05,1,5,67.136665,67.136665,1,1,1,3
EWMA-000212,15(예비건조기),2024-12-02 04:45:45,2024-12-02 04:45:45,1,5,65.22333,65.22333,1,1,1,3
EWMA-000213,15(예비건조기),2024-12-02 05:00:55,2024-12-02 05:00:55,1,5,70.87667,70.87667,0,1,0,1
EWMA-000214,15(예비건조기),2024-12-02 05:08:10,2024-12-02 05:08:10,1,5,65.420006,65.420006,1,1,0,2
EWMA-000215,15(예비건조기),2024-12-02 05:14:30,2024-12-02 05:14:30,1,5,65.21,65.21,1,1,1,3
